17-May-2018-11:17:01 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-11:17:03 [Visit.ComponentHelper.ButtonHelper] [INFO] [ClickButton] -  Button Click @ By.Id: about-acc
17-May-2018-11:17:11 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:17:12 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:17:34 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-11:27:10 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-11:27:17 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-11:27:18 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-11:27:22 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-11:39:55 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-11:40:53 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-11:41:02 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-11:44:07 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://visitlondon.com/things-to-do/place/401315-planet-hollywood
17-May-2018-11:44:34 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-11:44:34 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-11:44:40 [Visit.ComponentHelper.ButtonHelper] [INFO] [ClickButton] -  Button Click @ By.Id: about-acc
17-May-2018-11:44:43 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:44:43 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:45:05 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-11:54:53 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-11:55:12 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-11:55:14 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-11:57:59 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://visitlondon.com/things-to-do/place/401315-planet-hollywood
17-May-2018-11:58:11 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-11:58:11 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-11:58:12 [Visit.ComponentHelper.ButtonHelper] [INFO] [ClickButton] -  Button Click @ By.Id: about-acc
17-May-2018-11:58:17 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:58:18 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-11:58:40 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-12:08:13 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-12:08:18 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-12:08:19 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-12:08:31 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com/things-to-do/place/401315-planet-hollywood
17-May-2018-12:08:36 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-12:08:36 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: about-acc
17-May-2018-12:08:37 [Visit.ComponentHelper.ButtonHelper] [INFO] [ClickButton] -  Button Click @ By.Id: about-acc
17-May-2018-12:08:37 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-12:08:37 [Visit.ComponentHelper.GenericHelper] [INFO] [IsElemetPresent] -  Checking for the element By.Id: prices-acc
17-May-2018-12:08:40 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-13:22:56 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-13:23:03 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-13:23:04 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-13:23:11 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com/
17-May-2018-13:23:11 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page /area/london-bridge
17-May-2018-13:23:12 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-23-12.jpeg
17-May-2018-13:23:13 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Area Browse page is up.jpeg
17-May-2018-13:23:16 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-13:28:46 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-13:29:03 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-13:29:04 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-13:30:13 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com/
17-May-2018-13:30:13 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page /area/london-bridge
17-May-2018-13:30:55 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-30-54.jpeg
17-May-2018-13:36:07 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-13:36:12 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-13:36:13 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-13:36:24 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//area/london-bridge
17-May-2018-13:36:25 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-36-25.jpeg
17-May-2018-13:36:26 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Area Browse page is up.jpeg
17-May-2018-13:36:29 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-13:38:49 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-13:39:03 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-13:39:04 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-13:40:19 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//area/london-bridge
17-May-2018-13:40:39 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-40-38.jpeg
17-May-2018-13:44:06 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-13:44:11 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-13:44:12 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-13:44:24 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//area/london-bridge
17-May-2018-13:44:25 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-44-25.jpeg
17-May-2018-13:44:25 [Visit.ComponentHelper.GenericHelper] [INFO] [WaitForWebElementInPage] -  Setting the Explicit wait to 1 sec 
17-May-2018-13:44:25 [Visit.ComponentHelper.GenericHelper] [INFO] [GetWebdriverWait] -  Wait Object Created 
17-May-2018-13:44:25 [Visit.ComponentHelper.GenericHelper] [INFO] [WaitForWebElementInPage] -  Setting the Explicit wait Configured value 
17-May-2018-13:44:28 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-15:01:49 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-15:02:01 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-15:02:02 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-15:02:48 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//area/london-bridge
17-May-2018-15:02:49 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-02-49.jpeg
17-May-2018-15:02:49 [Visit.ComponentHelper.GenericHelper] [INFO] [WaitForWebElementInPage] -  Setting the Explicit wait to 1 sec 
17-May-2018-15:02:49 [Visit.ComponentHelper.GenericHelper] [INFO] [GetWebdriverWait] -  Wait Object Created 
17-May-2018-15:02:49 [Visit.ComponentHelper.GenericHelper] [INFO] [WaitForWebElementInPage] -  Setting the Explicit wait Configured value 
17-May-2018-15:02:52 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-15:14:09 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-15:14:15 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
